Location_Name,Parent_Name,Households,Population,药材,纺织品,矿产/金属,畜产品/土特产,农产品,其他/待分类
成都府,劍南道,160950,928199,,錦; 單絲羅; 高杼布; 麻,,,蔗糖,梅煎; 生春酒
彭州,劍南道,55922,357387,,段羅; 交梭,,,,
蜀州,劍南道,56577,390694,,錦; 單絲羅; 花紗,鐵,,,紅藍; 馬策
漢州,劍南道,69005,308203,,交梭; 雙紃; 彌牟; 紵布; 衫段; 綾,,蜀馬,紅藍,
嘉州,劍南道,34289,99591,紫葛; 麝香,,麩金,,,
眉州,劍南道,43529,175256,,,麩金,石蜜; 葛粉,柑,
邛州,劍南道,42107,190327,,葛; 絲布,,,,酒杓
簡州,劍南道,23066,143109,,葛; 綿紬,麩金,,柑,
資州,劍南道,29635,104775,,,麩金,,柑,
巂州,劍南道,40721,175280,麝香,絲布; 花布,麩金,蜀馬,,刀靶
雅州,劍南道,10892,54019,石菖蒲; 落鴈木,,麩金,,茶,
黎州,劍南道,1731,7670,升麻; 麝香; 牛黃,,,椒,,
茂州,劍南道,2510,13242,麝香; 羌活; 當歸,,麩金; 丹砂,狐尾; 乾酪,,
翼州,劍南道,711,3618,麝香,,,犛牛尾; 白蜜,,
維州,劍南道,2142,3198,麝香; 羌活; 當歸,,,犛牛尾,,
戎州,劍南道,4359,16375,,葛纖,,荔枝煎,,
姚州,劍南道,3700,,麝香,,麩金,,,
松州,劍南道,1076,5742,麝香; 當歸; 羌活,,,蠟; 狐尾,,朴硝
當州,劍南道,2146,6713,麝香; 當歸; 羌活,,麩金,酥,,
悉州,劍南道,816,3914,麝香; 當歸,,麩金,犛牛尾,柑,
靜州,劍南道,1577,6669,麝香; 當歸; 羌活,,,犛牛尾,,
柘州,劍南道,495,2120,麝香; 當歸; 羌活,,,,,
恭州,劍南道,1189,6223,麝香; 當歸; 升麻; 羌活,,,,,
保州,劍南道,1245,4536,麝香,,麩金,犛牛尾,,
真州,劍南道,676,3147,麝香; 大黃,,,,,
霸州,劍南道,571,1861,,,,,,
乾州,劍南道,,,,,,,,
梓州,劍南道,61824,246652,,紅綾; 絲布,,蔗糖,柑; 橘皮,
遂州,劍南道,35632,107716,天門冬,樗蒲綾; 絲布,,,,
綿州,劍南道,65066,263352,,輕容; 雙紃; 綾; 錦,鏤金銀器; 麩金,,白藕; 蔗,
劍州,劍南道,23510,100450,,絲布,麩金,葛粉,,蘇薰席
